1,1.664750852
2,2.853648868
3,3.427674928
4,4.856197652
5,5.910160425
6,6.3164696
7,7.077475164
8,8.211599405
9,9.533999777
10,10.40446249
11,11.83565922
12,12.27199967
13,13.81231503
14,14.30585761
15,15.93773496
16,16.94703824
17,17.85791514
18,18.01641458
19,19.91408872
20,20.22388547
21,21.76351375
22,22.00039928
23,23.30789999
24,24.87986319
25,25.27901533
26,26.13598698
27,27.12572743
28,28.10482014
29,29.58173451
30,30.5465927
31,31.43800673
32,32.00430648
33,33.43038949
34,34.23265794
35,35.6696744
36,36.86826983
37,37.75228444
38,38.87741959
39,39.75059823
40,40.13498433
41,41.80227627
42,42.19873948
43,43.20005512
44,44.08731887
45,45.14122883
46,46.80240732
47,47.72614233
48,48.02643747
49,49.37162781
50,50.03069533
